
@attribute Name string
@attribute Platform { Wii, NES, GB, DS, X360, PS3, PS2, SNES, GBA, 3DS, PS4, N64, PS, XB, PC, 2600, PSP, XOne, GC, WiiU, GEN, DC, PSV, SAT, SCD, WS, NG, TG16, 3DO, GG, PCFX }
@attribute Year { 2006, 1985, 2008, 2009, 1996, 1989, 1984, 2005, 1999, 2007, 2010, 2013, 2004, 1990, 1988, 2002, 2001, 2011, 1998, 2015, 2012, 2014, 1992, 1997, 1993, 1994, 1982, 2003, 1986, 2000, 1995, 2016, 1991, 1981, 1987, 1980, 1983, 2020, 2017 }
@attribute Genre { Sports, Platform, Racing, Role-Playing, Puzzle, Misc, Shooter, Simulation, Action, Fighting, Adventure, Strategy }
@attribute Publisher { Nintendo, Microsoft Game Studios, Take-Two Interactive, Sony Computer Entertainment, Activision, Ubisoft, Bethesda Softworks, Electronic Arts, Sega, SquareSoft, Atari, 505 Games, Capcom, GT Interactive, Konami Digital Entertainment, Sony Computer Entertainment Europe, Square Enix, LucasArts, Virgin Interactive, Warner Bros. Interactive Entertainment, Universal Interactive, Eidos Interactive, RedOctane, Vivendi Games, Enix Corporation, Namco Bandai Games, Palcom, Hasbro Interactive, THQ, Fox Interactive, Acclaim Entertainment, MTV Games, Disney Interactive Studios, Majesco Entertainment, Codemasters, Red Orb, Level 5, Arena Entertainment, Midway Games, JVC, Deep Silver, 989 Studios, NCSoft, UEP Systems, Parker Bros., Maxis, Imagic, Tecmo Koei, Valve Software, ASCII Entertainment, Mindscape, Infogrames, Unknown, Square, Valve, Activision Value, Banpresto, D3Publisher, Oxygen Interactive, Red Storm Entertainment, Video System, Hello Games, Global Star, Gotham Games, Westwood Studios, GungHo, Crave Entertainment, Hudson Soft, Coleco, Rising Star Games, Atlus, TDK Mediactive, ASC Games, Zoo Games, Accolade, Sony Online Entertainment, 3DO, RTL, Natsume, Focus Home Interactive, Alchemist, Black Label Games, SouthPeak Games, Mastertronic, Ocean, Zoo Digital Publishing, Psygnosis, City Interactive, Empire Interactive, Success, Compile, Russel, Taito, Agetec, GSP, Microprose, Play It, Slightly Mad Studios, Tomy Corporation, Sammy Corporation, Koch Media, Game Factory, Titus, Marvelous Entertainment, Genki, Mojang, Pinnacle, CTO SpA, TalonSoft, Crystal Dynamics, SCi, Quelle, mixi, Inc, Rage Software, Ubisoft Annecy, Scholastic Inc., Interplay, Mystique, ChunSoft, Square EA, 20th Century Fox Video Games, Avanquest Software, Hudson Entertainment, Nordic Games, Men-A-Vision, Nobilis, Big Ben Interactive, Touchstone, Spike, Jester Interactive, Nippon Ichi Software, LEGO Media, Quest, Illusion Softworks, Tigervision, Funbox Media, Rocket Company, Metro 3D, Mattel Interactive, IE Institute, Rondomedia, Sony Computer Entertainment America, Universal Gamex, Ghostlight, Wizard Video Games, BMG Interactive Entertainment, PQube, Trion Worlds, Laguna, Ignition Entertainment, Takara, Kadokawa Shoten, Destineer, Enterbrain, Xseed Games, Imagineer, System 3 Arcade Software, CPG Products, Aruze Corp, Gamebridge, Midas Interactive Entertainment, Jaleco, Answer Software, XS Games, Activision Blizzard, Pack In Soft, Rebellion, Xplosiv, GameMill Entertainment, Wanadoo, NovaLogic, Telltale Games, Epoch, BAM! Entertainment, Knowledge Adventure, Mastiff, Tetris Online, Harmonix Music Systems, ESP, TYO, Telegames, Mud Duck Productions, Screenlife, Pioneer LDC, Magical Company, Mentor Interactive, Kemco, Human Entertainment, Avanquest, Data Age, Electronic Arts Victor, Black Bean Games, Jack of All Games, 989 Sports, Takara Tomy, Media Rings, Elf, Starfish, Zushi Games, Jorudan, Destination Software, Inc, New, Brash Entertainment, ITT Family Games, PopCap Games, Home Entertainment Suppliers, Ackkstudios, Starpath Corp., P2 Games, BPS, Gathering of Developers, NewKidCo, Storm City Games, CokeM Interactive, CBS Electronics, Magix, Marvelous Interactive, Kalypso Media, Nihon Falcom Corporation, Wargaming.net, Angel Studios, Arc System Works, Playmates, SNK Playmore, Hamster Corporation, From Software, Nippon Columbia, Nichibutsu, Little Orbit, Conspiracy Entertainment, DTP Entertainment, Hect, Mumbo Jumbo, Pacific Century Cyber Works, Indie Games, Liquid Games, NEC, Axela, ArtDink, Sunsoft, Gust, SNK, NEC Interchannel, FuRyu, Xing Entertainment, ValuSoft, Victor Interactive, Detn8 Games, American Softworks, Nordcurrent, Bomb, Falcom Corporation, AQ Interactive, CCP, Milestone S.r.l., JoWood Productions, Seta Corporation, On Demand, NCS, Aspyr, Gremlin Interactive Ltd, Agatsuma Entertainment, Compile Heart, Culture Brain, Mad Catz, Shogakukan, Merscom LLC, Rebellion Developments, Nippon Telenet, TDK Core, bitComposer Games, Foreign Media Games, Astragon, SSI, Kadokawa Games, Idea Factory, Performance Designed Products, Asylum Entertainment, Core Design Ltd., PlayV, UFO Interactive, Idea Factory International, Playlogic Game Factory, Essential Games, Adeline Software, Funcom, Panther Software, Blast! Entertainment Ltd, Game Life, DSI Games, Avalon Interactive, Popcorn Arcade, Neko Entertainment, Vir2L Studios, Aques, Syscom, White Park Bay Software, System 3, Vatical Entertainment, Daedalic, EA Games, Media Factory, Vic Tokai, The Adventure Company, Game Arts, Broccoli, Acquire, General Entertainment, Excalibur Publishing, Imadio, Swing! Entertainment, Sony Music Entertainment, Aqua Plus, Paradox Interactive, Hip Interactive, DreamCatcher Interactive, Tripwire Interactive, Sting, Yacht Club Games, SCS Software, Bigben Interactive, Havas Interactive, Slitherine Software, Graffiti, Funsta, Telstar, U.S. Gold, DreamWorks Interactive, Data Design Interactive, MTO, DHM Interactive, FunSoft, SPS, Bohemia Interactive, Reef Entertainment, Tru Blu Entertainment, Moss, T&E Soft, O-Games, Aksys Games, NDA Productions, Data East, Time Warner Interactive, Gainax Network Systems, Daito, O3 Entertainment, Gameloft, Xicat Interactive, Simon & Schuster Interactive, Valcon Games, PopTop Software, TOHO, HMH Interactive, 5pb, Cave, CDV Software Entertainment, Microids, PM Studios, Paon, Micro Cabin, GameTek, Benesse, Type-Moon, Enjoy Gaming ltd., Asmik Corp, Interplay Productions, Asmik Ace Entertainment, inXile Entertainment, Image Epoch, Phantom EFX, Evolved Games, responDESIGN, Culture Publishers, Griffin International, Hackberry, Hearty Robin, Nippon Amuse, Origin Systems, Seventh Chord, Mitsui, Milestone, Abylight, Flight-Plan, Glams, Locus, Warp, Daedalic Entertainment, Alternative Software, Myelin Media, Mercury Games, Irem Software Engineering, Sunrise Interactive, Elite, Evolution Games, Tivola, Global A Entertainment, Edia, Athena, Aria, Gamecock, Tommo, Altron, Happinet, iWin, Media Works, Fortyfive, Revolution Software, Imax, Crimson Cow, 10TACLE Studios, Groove Games, Pack-In-Video, Insomniac Games, Ascaron Entertainment GmbH, Asgard, Ecole, Yumedia, Phenomedia, HAL Laboratory, Grand Prix Games, DigiCube, Creative Core, Kaga Create, WayForward Technologies, LSP Games, ASCII Media Works, Coconuts Japan, Arika, Ertain, Marvel Entertainment, Prototype, Phantagram, 1C Company, The Learning Company, TechnoSoft, Vap, Misawa, Tradewest, Team17 Software, Yeti, Pow, Navarre Corp, MediaQuest, Max Five, Comfort, Monte Christo Multimedia, Pony Canyon, Riverhillsoft, Summitsoft, Milestone S.r.l, Playmore, MLB.com, Kool Kizz, Flashpoint Games, 49Games, Legacy Interactive, Alawar Entertainment, CyberFront, Cloud Imperium Games Corporation, Societa, Virtual Play Games, Interchannel, Sonnet, Experience Inc., Zenrin, Iceberg Interactive, Ivolgamus, 2D Boy, MC2 Entertainment, Kando Games, Just Flight, Office Create, Mamba Games, Fields, Princess Soft, Maximum Family Games, Berkeley, Fuji, Dusenberry Martin Racing, imageepoch Inc., Big Fish Games, Her Interactive, Kamui, ASK, TopWare Interactive, Headup Games, KSS, Cygames, KID, Quinrose, Sunflowers, dramatic create, TGL, Encore, Extreme Entertainment Group, Intergrow, G.Rev, Sweets, Kokopeli Digital Studios, Number None, Nexon, id Software, BushiRoad, Tryfirst, Strategy First, 7G//AMES, GN Software, Yuke's, Easy Interactive, Licensed 4U, FuRyu Corporation, Lexicon Entertainment, Paon Corporation, Kids Station, GOA, Graphsim Entertainment, King Records, Introversion Software, Minato Station, Devolver Digital, Blue Byte, Gaga, Yamasa Entertainment, Plenty, Views, fonfun, NetRevo, Codemasters Online, Quintet, Phoenix Games, Dorart, Marvelous Games, Focus Multimedia, Imageworks, Karin Entertainment, Aerosoft, Technos Japan Corporation, Gakken, Mirai Shounen, Datam Polystar, Saurus, HuneX, Revolution (Japan), Giza10, Visco, Alvion, Mycom, Giga, Warashi, System Soft, Sold Out, Lighthouse Interactive, Masque Publishing, RED Entertainment, Michaelsoft, Media Entertainment, New World Computing, Genterprise, Interworks Unlimited, Inc., Boost On, Stainless Games, EON Digital Entertainment, Epic Games, Naxat Soft, Ascaron Entertainment, Piacci, Nitroplus, Paradox Development, Otomate, Ongakukan, Commseed, Inti Creates, Takuyo, Interchannel-Holon, Rain Games, UIG Entertainment }
@attribute Global_Sales string

@data
2002 FIFA World Cup,XB,2002.0,Sports,Electronic Arts,0.19
Chopper Command,2600,1982.0,Shooter,Activision,0.5
Last Rebellion,PS3,2010.0,Role-Playing,Nippon Ichi Software,0.09
Nippon no Asoko de,PSP,2008.0,Misc,Sony Computer Entertainment,0.03
Monster Trucks DS,DS,2005.0,Racing,Majesco Entertainment,0.08
MySims,Wii,2007.0,Simulation,Electronic Arts,1.68
Pirates of the Caribbean: At World's End,PSP,2007.0,Action,Disney Interactive Studios,0.43
Duke Nukem Forever,X360,2011.0,Shooter,Take-Two Interactive,0.84
Real Heroes: Firefighter,Wii,2009.0,Action,Rondomedia,0.65
Hot Shots Golf: Open Tee 2,PSP,2007.0,Sports,Sony Computer Entertainment,0.68
Snood,GBA,2001.0,Puzzle,Destination Software Inc,0.13
Boxing Fever,GBA,2001.0,Sports,THQ,0.08
Mario Bros.,NES,1983.0,Platform,Nintendo,2.28
SBK Superbike World Championship,PS2,2008.0,Racing,Black Bean Games,0.02
Dora the Explorer: Super Spies,GBA,2004.0,Platform,Gotham Games,0.61
Just Dance: Disney Party 2,WiiU,2015.0,Action,Ubisoft,0.08
Story of Seasons: Good Friends of the Three Villages,3DS,2016.0,Simulation,Marvelous Interactive,0.19
Sonic Chronicles: The Dark Brotherhood,DS,2008.0,Role-Playing,Sega,0.89
Army Men: Sarge's Heroes,N64,1999.0,Action,3DO,0.81
Rocket League,PC,2016.0,Sports,505 Games,0.02
Jojo's Bizarre Adventure,PS,1999.0,Fighting,Virgin Interactive,0.02
Snow Portable,PSP,2007.0,Adventure,Prototype,0.02
Dragon's Crown,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.53
Killer7,PS2,2005.0,Action,Capcom,0.09
Smuggler's Run,PS2,2000.0,Racing,Take-Two Interactive,1.56
NBA Live 06,X360,2005.0,Sports,Electronic Arts,0.29
Dead Space 2,PC,2011.0,Shooter,Electronic Arts,0.33
NHL 2001,PS2,2000.0,Sports,Electronic Arts,0.96
Dance Sensation!,Wii,2010.0,Misc,Majesco Entertainment,0.06
Transformers: Dark of the Moon,3DS,2011.0,Action,Activision,0.21
The Evil Within,XOne,2014.0,Action,Bethesda Softworks,0.65
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,XB,2005.0,Adventure,Disney Interactive Studios,0.09
Tamagotchi Collection,DS,2011.0,Misc,Namco Bandai Games,0.15
Disney's Planes,Wii,2013.0,Simulation,Disney Interactive Studios,0.17
Tokyo Twilight Ghost Hunters,PS3,2014.0,Role-Playing,Aksys Games,0.06
Dragon Tales: Dragon Adventures,GBA,2003.0,Platform,NewKidCo,0.02
Wayne Gretzky's 3D Hockey '98,PS,1997.0,Sports,GT Interactive,0.05
Power Rangers: Wild Force,GBA,2002.0,Action,THQ,0.21
Final Fantasy X-2: International + Last Mission,PS2,2004.0,Role-Playing,Square Enix,0.29
Major League Baseball 2K12,DS,2012.0,Sports,Take-Two Interactive,0.08
Tennis Masters Series 2003,XB,2002.0,Sports,Microids,0.04
Shinseiki GPX Cyber Formula: Road To The INFINITY 4,PS2,2007.0,Racing,Sunrise Interactive,0.02
Pro Evolution Soccer 2017,XOne,2016.0,Sports,Konami Digital Entertainment,0.03
Castlevania: Circle of the Moon,GBA,2001.0,Platform,Konami Digital Entertainment,0.89
Kung Fu Chaos,XB,2003.0,Fighting,Microsoft Game Studios,0.28
Road Rash 64,N64,1999.0,Racing,THQ,0.24
TrackMania: Build to Race,Wii,2010.0,Racing,Focus Home Interactive,0.24
LEGO Indiana Jones 2: The Adventure Continues,DS,2009.0,Action,Activision,1.21
Beyblade: Metal Fusion,DS,2009.0,Role-Playing,Hudson Soft,0.26
Warriors of Might and Magic,PS2,2001.0,Adventure,3DO,0.17
Dora's Big Birthday Adventure,PS2,2010.0,Misc,Take-Two Interactive,0.04
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,5.47
The King of Fighters '98: Dream Match Never Ends,PS,1999.0,Fighting,SNK Playmore,0.08
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011.0,Action,THQ,0.09
The Ant Bully,GBA,2006.0,Platform,Midway Games,0.04
Cabela's Deer Hunt: 2004 Season,PS2,2003.0,Sports,Activision Value,0.76
Moto Racer DS,DS,2008.0,Racing,Nobilis,0.03
Batman Begins,GBA,2005.0,Action,Electronic Arts,0.17
Rock Revolution,Wii,,Misc,Unknown,0.08
Middle-Earth: Shadow of Mordor,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,0.64
Ratchet: Deadlocked,PS2,2005.0,Shooter,Sony Computer Entertainment,1.24
Angelique: Maren no Rokukishi,PSP,2011.0,Adventure,Idea Factory,0.03
Warhammer: Battle For Atluma,PSP,2006.0,Action,Namco Bandai Games,0.06
Triggerheart Excelica Enhanced,PS2,2009.0,Shooter,Alchemist,0.02
Detective Jinguuji Saburo: Ronde Revenge,3DS,2012.0,Action,Arc System Works,0.02
Mystery Trackers: The Void,PC,2011.0,Puzzle,Focus Home Interactive,0.03
Klax,2600,1989.0,Puzzle,Atari,0.15
Konjiki no Gashbell!! Makai no Bookmark,GBA,2004.0,Adventure,Banpresto,0.26
Star Ocean: First Departure,PSP,2007.0,Role-Playing,Square Enix,0.65
LEGO Batman 2: DC Super Heroes,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.74
ToraDora Portable!,PSP,2009.0,Adventure,Namco Bandai Games,0.08
Tetris Worlds,GC,2002.0,Puzzle,THQ,0.22
Tony Hawk's Pro Skater 3,PS,2001.0,Sports,Activision,1.67
Star Gladiator Episode: I Final Crusade,PS,1996.0,Fighting,Virgin Interactive,0.3
Disney's The Haunted Mansion,GC,2003.0,Platform,Take-Two Interactive,0.1
Last Escort: Club Katze,PS2,2010.0,Adventure,D3Publisher,0.01
LEGO Indiana Jones: The Original Adventures,PS2,2008.0,Action,LucasArts,1.37
College Hoops 2K7,X360,2006.0,Sports,Take-Two Interactive,0.21
Clannad,PSP,2008.0,Adventure,Prototype,0.04
Street Racer,PS,1996.0,Racing,Ubisoft,0.16
Quantum Redshift,XB,2002.0,Racing,Microsoft Game Studios,0.13
The Monkey King: The Legend Begins,Wii,2007.0,Shooter,Starfish,0.04
Evil Zone,PS,1998.0,Fighting,Titus,0.25
Kung Fu Panda,PS2,2008.0,Action,Activision,0.65
Bleach: Blade Battlers,PS2,2006.0,Fighting,Sony Computer Entertainment,0.05
Sigma Harmonics,DS,2008.0,Role-Playing,Square Enix,0.07
Yakuza Zero: The Place of Oath,PS3,2015.0,Action,Sega,0.25
Rugby 15,PS4,2015.0,Sports,Bigben Interactive,0.11
Tom Clancy's Rainbow Six,N64,1999.0,Shooter,Red Storm Entertainment,0.64
Serious Sam Advance,GBA,2004.0,Shooter,Global Star,0.02
My Baby: First Steps,DS,2009.0,Simulation,SouthPeak Games,0.33
thinkSMART: Chess for Kids,DS,2011.0,Misc,Mentor Interactive,0.01
Star Wars: Lethal Alliance,PSP,2006.0,Action,Ubisoft,0.13
MX vs. ATV Reflex,PSP,2009.0,Racing,THQ,0.24
Attack on Titan: Humanity in Chains,3DS,2013.0,Action,Screenlife,0.41
SolarStriker,GB,1989.0,Shooter,Nintendo,1.2
Shape Up,XOne,2014.0,Misc,Ubisoft,0.18
Mega Man Battle Network 3 Blue / White Version,GBA,2002.0,Role-Playing,Capcom,1.29
Singularity,PS3,,Shooter,Unknown,0.24
Michael Jackson: The Experience,PSV,2011.0,Misc,Ubisoft,0.11
NCAA Football 2002,PS2,2001.0,Sports,Electronic Arts,1.57
The Idolmaster: Gravure For You! Vol. 4,PS3,2012.0,Misc,Namco Bandai Games,0.03
LEGO Legends of Chima: Laval's Journey,DS,2013.0,Adventure,Unknown,0.03
Monopoly Streets,Wii,2010.0,Misc,Electronic Arts,0.76
ESPN NHL Hockey,XB,2003.0,Sports,Sega,0.11
Castlevania Bloodlines,GEN,1994.0,Platform,Konami Digital Entertainment,0.04
Heavenly Sword,PS3,2007.0,Action,Sony Computer Entertainment,1.66
Battle of Giants: Dragons,DS,2009.0,Strategy,Ubisoft,0.63
Gintama DS: Yorozuya Daisoudou,DS,2006.0,Action,Namco Bandai Games,0.07
Suzumiya Haruhi-Chan no Mahjong,PSP,2011.0,Misc,Kadokawa Shoten,0.02
Puyo Pop Fever,PSP,2004.0,Puzzle,Ignition Entertainment,0.04
Bomberman,PSP,2006.0,Puzzle,Konami Digital Entertainment,0.15
Criminal Girls: Invite Only,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.11
QUIZ PARTY,Wii,2012.0,Misc,Nintendo,0.05
Naruto: Uzumaki Chronicles 2 (JP sales),PS2,2006.0,Action,Namco Bandai Games,0.05
Gummy Bears Mini Golf,DS,2010.0,Sports,Storm City Games,0.05
Jissen Pachislot Hisshouhou! Hokuto no Ken DS SE,DS,2006.0,Misc,Sega,0.05
Bigfoot: Collision Course,Wii,2008.0,Racing,Zoo Digital Publishing,0.32
Skylanders SWAP Force,Wii,2013.0,Platform,Activision,2.34
Itoi Shigesato no Bass Tsuri No. 1,SNES,1997.0,Sports,Nintendo,0.17
Ni no Kuni: Wrath of the White Witch,PS3,2011.0,Role-Playing,Namco Bandai Games,1.55
Dynasty Warriors 4 Empires,PS2,2004.0,Action,Tecmo Koei,0.32
Challenge Me: Word Puzzles,DS,2011.0,Puzzle,O-Games,0.04
Secret Service: Ultimate Sacrifice,PS2,2008.0,Action,Activision,0.07
Bionicle,GBA,2003.0,Action,THQ,0.09
Starsky & Hutch,PS2,2003.0,Racing,Empire Interactive,0.92
Alien Hominid,PS2,2004.0,Shooter,Zoo Digital Publishing,0.1
Bakugan: Battle Brawlers,PS2,2009.0,Action,Activision,0.43
1701 A.D.,PC,2006.0,Simulation,Deep Silver,0.3
Wasteland 2,PS4,2015.0,Role-Playing,Deep Silver,0.1
Marc Ecko's Getting Up: Contents Under Pressure,PS2,2006.0,Action,Atari,0.05
Resident Evil 6,X360,2012.0,Shooter,Capcom,1.98
Dodge Racing: Charger vs Challenger,DS,2009.0,Racing,Zushi Games,0.03
Metal Gear Solid V: The Phantom Pain,PS3,2015.0,Action,Konami Digital Entertainment,0.7
Totally Spies! Totally Party,PS2,2008.0,Misc,Ubisoft,0.01
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007.0,Shooter,Ubisoft,1.04
CSI: Deadly Intent,X360,2009.0,Adventure,Ubisoft,0.21
Chocobo to Mahou no Ehon: Majo to Shoujo to 5-Jin no Yuusha,DS,2008.0,Role-Playing,Square Enix,0.05
TrackMania Turbo,PC,2016.0,Action,Ubisoft,0.01
Tiger Woods PGA Tour 2005,PS2,2004.0,Sports,Electronic Arts,1.44
Little Red Riding Hood's Zombie BBQ,DS,2008.0,Shooter,Destineer,0.04
Spider-Man: Web of Shadows,Wii,2008.0,Action,Activision,0.25
Batman: Vengeance,GC,2001.0,Adventure,Ubisoft,0.26
Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,PS2,2003.0,Sports,Konami Digital Entertainment,0.2
Bunmei Kaika: Aoiza Ibunroku Saien,PSP,2012.0,Action,FuRyu,0.01
ESPN Great Outdoor Games Bass 2002,GBA,2001.0,Sports,Konami Digital Entertainment,0.05
LEGO Rock Band,DS,2009.0,Misc,Warner Bros. Interactive Entertainment,0.46
Dragon Quest: Shounen Yangus to Fushigi no Dungeon,PS2,2006.0,Role-Playing,Square Enix,0.29
Whiplash,XB,2003.0,Racing,Eidos Interactive,0.06
Shinigami to Shoujo,PSP,2011.0,Adventure,Takuyo,0.01
Viewtiful Joe: Red Hot Rumble,PSP,2006.0,Action,Capcom,0.09
NCAA March Madness 2005,PS2,2004.0,Sports,Electronic Arts,0.53
Blackwater,X360,2011.0,Shooter,505 Games,0.12
Persona 5,PS4,2016.0,Role-Playing,Atlus,0.34
Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995.0,Fighting,Namco Bandai Games,0.15
Bugriders: The Race of Kings,PS,1997.0,Racing,GT Interactive,0.02
Haneru no Tobira Wii: Girigirissu,Wii,2007.0,Misc,Namco Bandai Games,0.02
SimCity Creator (JP sales),DS,2008.0,Simulation,Electronic Arts,0.18
Battle Fantasia,PS3,2008.0,Fighting,505 Games,0.01
Treasures of the Deep,PS,1997.0,Action,Namco Bandai Games,0.19
Quiz Present Variety Q-Sama!! DS: Pressure Study x Atama Gai Kunaru Drill SP,DS,2011.0,Misc,Plenty,0.02
Murdered: Soul Suspect,PC,2014.0,Action,Square Enix,0.06
Growlanser Generations,PS2,2003.0,Role-Playing,Atlus,0.11
Luminous Arc 2 (JP sales),DS,,Role-Playing,Unknown,0.1
Super Bust-A-Move,GBA,2001.0,Puzzle,Ubisoft,0.05
Crash Tag Team Racing,XB,2005.0,Racing,Vivendi Games,0.13
Special Forces: Nemesis Strike,XB,2005.0,Shooter,Hip Interactive,0.03
Junior Island Adventure,DS,2011.0,Puzzle,Unknown,0.03
Mega Man 7,SNES,1995.0,Platform,Laguna,0.28
Caesar IV,PC,2006.0,Strategy,Vivendi Games,0.04
Moxie Girlz,DS,2011.0,Misc,GameMill Entertainment,0.07
Farming 2017 - The Simulation,PS4,2016.0,Simulation,UIG Entertainment,0.01
Prince of Persia: The Forgotten Sands,PS3,2010.0,Action,Ubisoft,0.7
Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen,Wii,2007.0,Simulation,Taito,0.02
LMA Manager 2007,X360,2006.0,Sports,Codemasters,0.01
NFL GameDay 2001,PS,2000.0,Sports,Sony Computer Entertainment,1.0
Pro Angler Moves,PS3,2012.0,Sports,Interworks Unlimited Inc.,0.01
Venetica,PC,2009.0,Role-Playing,DTP Entertainment,0.05
SimAnimals Africa,Wii,2009.0,Simulation,Electronic Arts,0.13
Syphon Filter: Logan's Shadow,PSP,2007.0,Shooter,Sony Computer Entertainment,0.46
Dig Dug,NES,1985.0,Puzzle,Namco Bandai Games,0.41
Bleach: Shattered Blade,Wii,2006.0,Fighting,Sega,0.33
Pirates of the Caribbean: Dead Man's Chest,GBA,2006.0,Adventure,Disney Interactive Studios,0.47
Gauntlet / Rampart,GBA,2005.0,Misc,Zoo Digital Publishing,0.03
The History Channel: Great Battles - Medieval,X360,2010.0,Strategy,Slitherine Software,0.13
LEGO Jurassic World,3DS,2015.0,Action,Warner Bros. Interactive Entertainment,0.6
Hikaru no Go: Heian Gensou Ibunroku,PS,2002.0,Adventure,Konami Digital Entertainment,0.07
Disney Sing It! High School Musical 3: Senior Year,Wii,2008.0,Misc,Disney Interactive Studios,0.6
NBA 2K17,XOne,2016.0,Sports,Take-Two Interactive,0.64
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007.0,Action,THQ,1.76
Pryzm Chapter One: The Dark Unicorn,PS2,2002.0,Adventure,TDK Mediactive,0.12
Grand Slam Tennis 2,X360,2012.0,Sports,Electronic Arts,0.19
Gauntlet: Dark Legacy,GC,2002.0,Action,Midway Games,0.18
Winter Sports 3: The Great Tournament,PS3,2010.0,Sports,Tradewest,0.04
Barbie Super Sports,PS,1999.0,Sports,Mattel Interactive,0.22
Call of Juarez,PC,2006.0,Shooter,Ubisoft,0.01
FIFA Soccer 13,PSV,2012.0,Action,Electronic Arts,0.47
F1 2015,PC,2015.0,Racing,Codemasters,0.05
Cubic Ninja,3DS,2011.0,Platform,Ubisoft,0.1
Spanish for Everyone!,DS,2007.0,Puzzle,Activision,0.02
Egg Mania: Eggstreme Madness,PS2,2002.0,Puzzle,Kemco,0.03
Chaos;Head Noah,PSP,2010.0,Adventure,5pb,0.02
Burnout 2: Point of Impact,PS2,2002.0,Racing,Acclaim Entertainment,0.85
Suzuki TT Superbikes,PS2,2005.0,Racing,Jester Interactive,0.4
Resident Evil Zero,PC,2016.0,Action,Capcom,0.02
Harukanaru Toki no Naka de 5: Kazahanaki,PSP,2012.0,Role-Playing,Ackkstudios,0.03
Contra: Shattered Soldier,PS2,2002.0,Shooter,Konami Digital Entertainment,0.58
Chaos;Child,PS4,2015.0,Adventure,5pb,0.01
Mario & Luigi: Dream Team,3DS,2013.0,Role-Playing,Nintendo,2.06
Teenage Mutant Ninja Turtles,GBA,2003.0,Action,Unknown,0.93
Star Wars: Rebel Assault II - The Hidden Empire,PS,1996.0,Shooter,CTO SpA,0.88
Battlefield: Bad Company 2,PS3,2010.0,Shooter,Electronic Arts,2.97
Yourself Fitness,XB,2004.0,Sports,responDESIGN,0.09
Enclave,XB,2002.0,Adventure,Swing! Entertainment,0.14
Disney Guilty Party,Wii,2010.0,Misc,Disney Interactive Studios,0.46
Hitotsu Tobashi Renai V,PSV,2015.0,Adventure,Kaga Create,0.01
J-League Excite Stage '96,SNES,1996.0,Sports,Epoch,0.19
Durarara!! 3way Standoff: Alley,PSP,2011.0,Adventure,Kadokawa Shoten,0.04
LEGO Star Wars III: The Clone Wars,PS3,2011.0,Action,LucasArts,1.2
Rock Blast,DS,2008.0,Puzzle,UFO Interactive,0.06
Venetica,PS3,2010.0,Role-Playing,DTP Entertainment,0.13
The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,Nintendo,3.07
Shadow Hearts: Covenant,PS2,2004.0,Role-Playing,Midway Games,0.24
Wicked Monster Blast!,Wii,2011.0,Shooter,PQube,0.05
Ragnarok DS,DS,2008.0,Role-Playing,GungHo,0.22
The Ant Bully,PS2,2006.0,Platform,Midway Games,0.1
Zero Escape: Virtue's Last Reward,3DS,2012.0,Adventure,Rising Star Games,0.03
Bookworm,GBA,2004.0,Puzzle,Unknown,0.03
Driving Emotion Type-S,PS2,2000.0,Racing,Electronic Arts,0.18
Animaniacs: The Great Edgar Hunt,GC,2005.0,Platform,Ignition Entertainment,0.03
Steins;Gate 0,PS4,2015.0,Adventure,PQube,0.05
Madagascar: Escape 2 Africa,PS3,2008.0,Action,Activision,0.23
DEATH NOTE: Kira Game,DS,2007.0,Adventure,Konami Digital Entertainment,0.12
Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),PS2,2007.0,Strategy,Konami Digital Entertainment,0.02
Gundam Assault Survive,PSP,2010.0,Action,Namco Bandai Games,0.17
XGRA: Extreme G Racing Association,GC,2003.0,Racing,Acclaim Entertainment,0.02
Sony Computer Science Kenkyuujo Mogi Kenichirou Hakase Kanshuu: Nou ni Kaikan Aha Taiken!,PSP,2006.0,Misc,Sega,0.07
pro evolution soccer 2011,Wii,2010.0,Sports,Konami Digital Entertainment,0.23
Hitman: Blood Money,XB,2006.0,Action,Eidos Interactive,0.14
Death Trap,2600,1982.0,Action,Avalon Interactive,0.17
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,6.34
Order Up!,Wii,2008.0,Misc,Zoo Digital Publishing,0.22
Angry Birds Star Wars,WiiU,2013.0,Strategy,Activision,0.11
