//@relation converted_csv
@attribute Rank numeric
@attribute Name string
@attribute Platform string
@attribute Year numeric
@attribute Genre string
@attribute Publisher string
@attribute NA_Sales numeric
@attribute EU_Sales numeric
@attribute JP_Sales numeric
@attribute Other_Sales numeric
@attribute Global_Sales numeric

@data
15984,Coven and Labyrinth of Refrain,PSV,2016,Action,Nippon Ichi Software,0,0,0.01,0,0.01
5793,NHL FaceOff 2000,PS,1998,Sports,Sony Computer Entertainment,0.17,0.12,0,0.02,0.31
7474,The Naked Brothers Band: The Video Game,Wii,2008,Misc,THQ,0.19,0,0,0.01,0.21
16393,World Snooker Championship 2007,X360,2007,Sports,Sega,0,0.01,0,0,0.01
4366,Rampage World Tour,N64,1998,Action,GT Interactive,0.36,0.08,0,0.01,0.45
13216,D.Gray-man: Kami no Shitotachi,DS,2007,Adventure,Konami Digital Entertainment,0,0,0.05,0,0.05
11748,Torchlight,PC,2009,Role-Playing,JoWood Productions,0,0.06,0,0.02,0.07
8149,Fireblade,PS2,2002,Action,Midway Games,0.09,0.07,0,0.02,0.18
15466,Hana to Otome ni Shukufuku o: Harekaze no Okurimono,PS2,2010,Adventure,Alchemist,0,0,0.02,0,0.02
746,Donkey Kong Country,GB,2000,Platform,Nintendo,1.04,0.72,0.3,0.13,2.19
16167,Rosario to Vampire: Tanabata no Miss Youkai Gakuen,DS,2008,Adventure,Capcom,0,0,0.01,0,0.01
10962,Lock's Quest,DS,2008,Strategy,THQ,0.08,0,0,0.01,0.09
5946,Fist of the North Star: Ken's Rage 2,PS3,2012,Fighting,Tecmo Koei,0,0,0.3,0,0.3
2010,ZhuZhu Pets,DS,2010,Simulation,Activision,0.68,0.27,0,0.09,1.04
15947,Storm Lover 2nd V,PSV,2016,Adventure,D3Publisher,0,0,0.02,0,0.02
10659,Silent Scope Complete,XB,2004,Shooter,Konami Digital Entertainment,0.07,0.02,0,0,0.1
13375,XBLAZE Code: Embryo,PSV,2013,Adventure,Arc System Works,0.03,0,0.01,0.01,0.05
454,Borderlands 2,X360,2012,Shooter,Take-Two Interactive,1.89,0.91,0.04,0.24,3.07
9474,Shrek Smash n' Crash Racing,GC,2006,Racing,Activision,0.1,0.03,0,0,0.13
16513,Palais de Reine,PS2,2007,Strategy,Interchannel-Holon,0,0,0.01,0,0.01
14762,Demon Driver: Time to Burn Rubber!,GBA,2003,Racing,Ignition Entertainment,0.02,0.01,0,0,0.03
5479,Disney's Treasure Planet,PS2,2002,Action,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33
10856,FIFA Street 3,DS,2008,Sports,Electronic Arts,0.07,0.02,0,0.01,0.09
4940,Dancing with the Stars: We Dance!,Wii,2008,Misc,Activision,0.36,0,0,0.03,0.39
15171,Super Nazo Puyo Tsuu: Ruruu no Tetsuwan Hanjyouki,SNES,1996,Puzzle,Compile,0,0,0.02,0,0.02
647,Tetris Plus,PS,1996,Puzzle,JVC,2.1,0.24,0,0.07,2.4
2260,Knockout Kings 2000,N64,1999,Fighting,Electronic Arts,0.63,0.27,0,0.02,0.92
236,Splatoon,WiiU,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
4669,High Rollers Casino,PS2,2004,Misc,Mud Duck Productions,0.2,0.16,0,0.05,0.42
11299,Arslan: The Warriors of Legend,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.04,0.01,0.08
10423,Power Pocket Koushien,DS,2005,Sports,Konami Digital Entertainment,0,0,0.1,0,0.1
9460,MX 2002 Featuring Ricky Carmichael,XB,2001,Racing,THQ,0.1,0.03,0,0,0.13
169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42
9418,Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,DS,2006,Action,Sega,0,0,0.13,0,0.13
8724,Winning Post 3,PS,1998,Racing,Tecmo Koei,0,0,0.14,0.01,0.15
12562,Genkai Tokki: Moero Crystal,PSV,2015,Role-Playing,Compile Heart,0,0,0.06,0,0.06
4341,Area 51,PS2,2005,Shooter,Midway Games,0.22,0.17,0,0.06,0.45
8853,Top Gun: Combat Zones,GC,2002,Simulation,Titus,0.12,0.03,0,0,0.15
5391,Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34
7546,Tekken 3D: Prime Edition,3DS,2012,Fighting,Nintendo,0.06,0.08,0.05,0.01,0.2
9753,San Goku Shi V,SAT,1996,Strategy,Tecmo Koei,0,0,0.12,0,0.12
3398,Kane & Lynch 2: Dog Days,PS3,2010,Shooter,Square Enix,0.17,0.28,0.05,0.1,0.59
6983,Cross Edge,PS3,2008,Role-Playing,Nippon Ichi Software,0.14,0.02,0.05,0.02,0.23
14730,Hanayaka Kana Ware ga Ichizoku Twin Pack,PSP,2011,Misc,Idea Factory,0,0,0.03,0,0.03
10052,Phantom Dust,XB,2004,Action,Microsoft Game Studios,0.08,0.02,0,0,0.11
3972,LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0,0.04,0.5
15201,Darksiders,PS3,2010,Action,THQ,0.01,0.01,0,0,0.02
14553,Pimp My Ride: Street Racing,DS,2009,Racing,Activision,0.03,0,0,0,0.03
6050,Operation Flashpoint: Red River,X360,2011,Shooter,Codemasters,0.1,0.15,0.01,0.03,0.29
16196,K-1 Grand Prix,PS,1999,Fighting,Jaleco,0.01,0.01,0,0,0.01
4536,Petz Bunnyz,DS,2008,Simulation,Ubisoft,0.39,0.01,0,0.03,0.43
15700,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,nan,Misc,Konami Digital Entertainment,0,0,0.02,0,0.02
13477,World Trigger: Borderless Mission,PSV,2015,Action,Namco Bandai Games,0,0,0.04,0,0.04
9818,NFL QB Club 2001,N64,2000,Sports,Acclaim Entertainment,0.11,0.01,0,0,0.12
9031,Sengoku Musou 3 Empires,PS3,2011,Action,Tecmo Koei,0,0,0.14,0,0.14
14979,Bunmei Haruka: Aoiza Ibunroku,PSP,2011,Action,FuRyu,0,0,0.02,0,0.02
2737,Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,0.17,0.39,0,0.19,0.75
11099,Dark Angel: Vampire Apocalypse,PS2,2001,Role-Playing,Metro 3D,0.04,0.03,0,0.01,0.09
2241,Cars,GC,2006,Racing,THQ,0.72,0.19,0,0.03,0.93
14702,Gudetama: Hanjuku de Tanomuwa,3DS,2015,Action,Rocket Company,0,0,0.03,0,0.03
6315,Tiger Woods PGA Tour 07,PSP,2006,Sports,Electronic Arts,0.2,0.04,0,0.04,0.27
11010,Justice League Heroes,DS,2006,Role-Playing,Eidos Interactive,0.08,0,0,0.01,0.09
7543,The King of Fighters Collection: The Orochi Saga,PS2,2006,Fighting,Ignition Entertainment,0.1,0.08,0,0.03,0.2
7515,Backyard NFL Football 2006,PS2,2005,Sports,Atari,0.1,0.08,0,0.03,0.2
12625,Backyard Skateboarding 2006,GBA,2004,Sports,Atari,0.04,0.02,0,0,0.06
9640,Transformer: Rise of the Dark Spark,PS3,2014,Action,Activision,0.04,0.05,0.01,0.02,0.13
14102,Rebel Raiders: Operation Nighthawk,PS2,2006,Simulation,Kando Games,0.02,0.01,0,0,0.03
2614,Dance Dance Revolution SuperNOVA 2,PS2,2007,Simulation,Konami Digital Entertainment,0.64,0.03,0.02,0.1,0.79
15220,Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,2010,Adventure,Alchemist,0,0,0.02,0,0.02
2691,Raving Rabbids: Travel in Time,Wii,2010,Adventure,Ubisoft,0.22,0.47,0,0.08,0.76
6389,Reign of Fire,PS2,2002,Shooter,BAM! Entertainment,0.13,0.1,0,0.03,0.27
12109,Super Real Mahjong Graffiti,SAT,1995,Misc,Seta Corporation,0,0,0.07,0,0.07
10576,Conflict: Global Terror,XB,2005,Shooter,SCi,0.08,0.02,0,0,0.1
5921,SimCity 4,PC,2003,Simulation,Electronic Arts,0.01,0.24,0,0.05,0.3
4158,The Godfather (JP sales),PS2,2006,Action,Electronic Arts,0.39,0.02,0,0.06,0.47
15465,Crysis: Warhead,PC,2008,Shooter,Electronic Arts,0,0.02,0,0,0.02
14895,Mahou Sensei Negima! Private Lesson 2: Ojama Shimasu Parasite de Chu,GBA,2006,Role-Playing,Marvelous Interactive,0,0,0.02,0,0.03
5877,Wacky Races: Crash & Dash,Wii,2008,Racing,Eidos Interactive,0.27,0.01,0,0.02,0.3
15600,Frisbee Disc Freestyle / Frisbee Disc Golf,DS,2007,Sports,DSI Games,0.02,0,0,0,0.02
13880,Stolen,PS2,2005,Action,Hip Interactive,0.02,0.01,0,0,0.04
1346,NCAA Football 2003,PS2,2002,Sports,Electronic Arts,1.16,0.08,0,0.19,1.44
13194,Around the World in 80 Days,GBA,2004,Action,Hip Interactive,0.03,0.01,0,0,0.05
9596,The Price is Right: Decades,Wii,2011,Misc,Ubisoft,0.12,0,0,0.01,0.13
6655,Birds of Steel,PS3,2012,Simulation,Konami Digital Entertainment,0.1,0.09,0.02,0.04,0.25
7105,Hooked! Real Motion Fishing,Wii,2007,Sports,505 Games,0.21,0,0,0.02,0.23
2956,Mario Pinball Land,GBA,2004,Misc,Nintendo,0.5,0.18,0,0.01,0.69
3926,Final Fantasy II Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.36,0.03,0.07,0.04,0.51
11413,Seven Samurai 20XX,PS2,2004,Action,Sega,0.04,0.03,0,0.01,0.08
11834,NOëL: La Neige,PS,1998,Adventure,Pioneer LDC,0,0,0.07,0,0.07
14195,Cabela's Outdoor Adventures,GC,2005,Sports,Activision,0.03,0.01,0,0,0.03
12013,Ghost in the Shell: Stand Alone Complex,PSP,2005,Adventure,Atari,0.06,0,0,0.01,0.07
358,Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59
11981,Wallace & Gromit in Project Zoo,GC,2003,Platform,BAM! Entertainment,0.05,0.01,0,0,0.07
13114,All Star Tennis 99,N64,1999,Sports,Ubisoft,0.04,0.01,0,0,0.05
3276,Fighters MEGAMiX,SAT,1996,Fighting,Sega,0,0,0.62,0,0.62
5265,CSI: Deadly Intent - The Hidden Cases,DS,2009,Adventure,Ubisoft,0.16,0.16,0,0.04,0.35
1546,Army Men 3D,PS,1999,Action,3DO,1.1,0.14,0,0.04,1.28
9968,Arctic Thunder,XB,2001,Racing,Midway Games,0.09,0.02,0,0,0.12
7183,Move Fitness,PS3,nan,Sports,Sony Computer Entertainment,0,0.17,0,0.05,0.22
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
13310,V-Rally 3,GBA,2002,Racing,Atari,0.03,0.01,0,0,0.05
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
11759,Medabots 8,3DS,2014,Role-Playing,Rocket Company,0,0,0.07,0,0.07
3136,Harry Potter and the Half-Blood Prince,PS2,2009,Action,Electronic Arts,0.13,0.07,0,0.44,0.64
9614,X-Men: Next Dimension,GC,2002,Fighting,Activision,0.1,0.03,0,0,0.13
5642,Extreme Pinball,PS,1995,Misc,Electronic Arts,0.18,0.12,0,0.02,0.32
7727,Big Mutha Truckers 2,PS2,2005,Racing,Xplosiv,0.1,0.07,0,0.03,0.2
13173,SD Gundam: Over Galaxian,PS,1996,Shooter,Namco Bandai Games,0,0,0.05,0,0.05
13553,Jewel Quest 5: The Sleepless Star,PC,2011,Action,Astragon,0.01,0.02,0,0.01,0.04
15385,Silent Bomber,PS,1999,Action,Virgin Interactive,0.01,0.01,0,0,0.02
5291,Mega Man X3,SNES,1995,Action,Laguna,0.04,0.01,0.3,0,0.35
265,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3,1.11,0.05,0.07,4.24
1232,Knockout Kings,PS,1997,Fighting,Electronic Arts,1.07,0.39,0,0.06,1.52
11251,Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army,PS2,2006,Role-Playing,Tecmo Koei,0,0,0.09,0,0.09
2626,Personal Trainer: Walking,DS,2008,Sports,Nintendo,0.22,0.32,0.17,0.07,0.79
7593,Angry Birds Star Wars,PS4,2013,Strategy,Activision,0.1,0.08,0,0.03,0.2
4745,Band Hero,PS2,2009,Misc,Activision,0.15,0.06,0,0.2,0.41
4086,Scrabble 2007 Edition,DS,2007,Puzzle,Ubisoft,0,0.48,0,0,0.48
15017,SimCity Societies,PC,2007,Simulation,Electronic Arts,0,0.02,0,0,0.02
8876,Virtua Tennis 4,Wii,2011,Sports,Sega,0.05,0.08,0,0.02,0.15
15411,Dragon Ball Z: Buu's Fury / Dragon Ball GT: Transformation,GBA,2006,Action,Atari,0.01,0.01,0,0,0.02
6423,My Virtual Tutor: Reading Adventure Kindergarten to First,DS,2009,Misc,Mentor Interactive,0.25,0,0,0.02,0.27
15574,WorldShift,PC,2009,Strategy,Playlogic Game Factory,0.02,0,0,0,0.02
10577,Minority Report: Everybody Runs,GC,2002,Action,Activision,0.08,0.02,0,0,0.1
13954,Ar Nosurge: Ode to an Unborn Star,PSV,2014,Role-Playing,Tecmo Koei,0,0,0.04,0,0.04
15413,Guitar Freaks V2 & DrumMania V2,PS2,2006,Simulation,Konami Digital Entertainment,0,0,0.02,0,0.02
8864,Doraemon 3: Nobi Dai no Machi SOS!,N64,2000,Platform,Epoch,0,0,0.09,0.06,0.15
5433,Power Rangers Samurai,DS,2011,Action,Namco Bandai Games,0.27,0.04,0,0.02,0.34
266,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,0,0.83,1.93,4.23
4033,WWE Wrestlemania X8,GC,2002,Fighting,THQ,0.38,0.1,0,0.01,0.49
13994,Rhapsody: A Musical Adventure,PS,1998,Role-Playing,Nippon Ichi Software,0.02,0.01,0,0,0.04
14062,Petz: Catz Playground,DS,2010,Simulation,Ubisoft,0.03,0,0,0,0.04
15092,Left 4 Dead,PC,2008,Shooter,Electronic Arts,0,0.02,0,0,0.02
465,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,1.85,1.04,0,0.13,3.02
10282,Real World Golf,PS2,2005,Sports,Valcon Games,0.05,0.04,0,0.01,0.11
7810,Avatar: The Last Airbender - Into the Inferno,Wii,2008,Adventure,THQ,0.17,0.01,0,0.01,0.19
8331,Glover,PS,1999,Platform,Atari,0.09,0.06,0,0.01,0.17
2949,Test Drive Unlimited 2,X360,nan,Racing,Atari,0.3,0.32,0,0.07,0.69
13628,MLB SlugFest 20-04,GC,2003,Sports,Midway Games,0.03,0.01,0,0,0.04
4648,Kumamon Bomber: Puzzle de Kumamon Taisou,GC,2005,Puzzle,Sega,0.32,0.08,0,0.01,0.42
15746,Postman Pat: Special Delivery Service,DS,2009,Misc,GSP,0,0.01,0,0,0.02
11295,The Spiderwick Chronicles,DS,2008,Action,Vivendi Games,0.08,0,0,0.01,0.08
1806,Derby Stallion 99,PS,1999,Sports,ASCII Entertainment,0,0,1.06,0.07,1.13
16504,Transformers: War for Cybertron (XBox 360 PS3 & PC Versions),PC,2010,Shooter,Activision,0.01,0,0,0,0.01
3653,Unit 13,PSV,2012,Shooter,Sony Computer Entertainment,0.29,0.15,0.04,0.07,0.55
2193,Tony Hawk: RIDE,Wii,2009,Sports,Activision,0.7,0.17,0,0.08,0.95
13038,Hakuoki: Stories of the Shinsengumi,PS3,2010,Adventure,Idea Factory,0.02,0,0.03,0,0.05
4502,Spec Ops: Covert Assault,PS,2001,Shooter,Take-Two Interactive,0.24,0.16,0,0.03,0.43
1277,New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo,0.37,0.69,0.28,0.14,1.48
2003,Bomberman 64,N64,1997,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03,1.04
10620,Choujikuu Yousai Macross: Ai Oboete Imasu ka,SAT,1997,Shooter,Namco Bandai Games,0,0,0.1,0,0.1
8714,Wing Commander III: Heart of the Tiger,PS,1996,Action,Electronic Arts,0.09,0.06,0,0.01,0.16
3266,SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,0.57,0.01,0,0.04,0.62
6120,Metal Gear Solid V: Ground Zeroes,XOne,2014,Action,Konami Digital Entertainment,0.15,0.11,0,0.02,0.28
8587,Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,0.13,0.03,0,0,0.16
8282,One Piece: Unlimited World Red,PSV,2014,Action,Namco Bandai Games,0.06,0.04,0.04,0.03,0.17
3139,Spyro: A Hero's Tail,PS2,2004,Platform,Vivendi Games,0.32,0.25,0,0.08,0.64
11258,SRS: Street Racing Syndicate,GC,2004,Racing,Namco Bandai Games,0.07,0.02,0,0,0.08
10045,BoomBots,PS,1999,Fighting,SouthPeak Games,0.06,0.04,0,0.01,0.11
12462,Coded Arms: Contagion,PSP,2007,Shooter,Konami Digital Entertainment,0.05,0,0,0.01,0.06
10480,Corvette Evolution GT,DS,2008,Racing,Black Bean Games,0.1,0,0,0.01,0.1
11640,Sound Novel Tsukuru,SNES,1996,Misc,ASCII Entertainment,0,0,0.08,0,0.08
12872,Shin Sangoku Musou 5 Empires,PSP,2010,Action,Tecmo Koei,0,0,0.05,0,0.05
5537,Sakura Wars 3: Paris wa Moeteiru ka,DC,2001,Adventure,Sega,0,0,0.33,0,0.33
10717,Lord of Apocalypse,PSP,2011,Role-Playing,Square Enix,0,0,0.1,0,0.1
14480,Shantae and the Pirate's Curse,3DS,2015,Platform,Intergrow,0,0,0.03,0,0.03
13866,Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,PSV,2015,Role-Playing,Experience Inc.,0,0,0.04,0,0.04
11354,Gradius Galaxies,GBA,2001,Shooter,Konami Digital Entertainment,0.06,0.02,0,0,0.08
8121,Gun,GC,2005,Shooter,Activision,0.14,0.04,0,0,0.18
930,SingStar,PS2,2004,Misc,Sony Computer Entertainment,0,1.37,0,0.49,1.86
13226,Neverland Card Battles,PSP,2008,Role-Playing,Idea Factory,0.04,0,0,0.01,0.05
9272,G.I. Joe: The Rise of Cobra,DS,2009,Action,Electronic Arts,0.11,0.01,0,0.01,0.14
7373,RealSports Baseball,2600,1981,Sports,Atari,0.2,0.01,0,0,0.21
13981,Gumby vs. the Astrobots,GBA,2005,Action,Namco Bandai Games,0.03,0.01,0,0,0.04
9400,My Spanish Coach,PSP,2008,Misc,Ubisoft,0.12,0,0,0.01,0.13
1356,Cabela's Big Game Hunter,PS2,2002,Sports,Activision,0.7,0.54,0,0.18,1.42
1757,Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,0.5,0.39,0.02,0.25,1.16
7974,Jurassic: The Hunted,PS3,2009,Shooter,Activision,0.17,0,0,0.02,0.19
6333,WWE Road to WrestleMania X8,GBA,2002,Fighting,THQ,0.19,0.07,0,0,0.27
4998,God Eater 2: Rage Burst,PSV,2015,Role-Playing,Namco Bandai Games,0,0.01,0.37,0,0.38
15504,Dreamer Series: Horse Trainer,DS,2008,Simulation,DreamCatcher Interactive,0.02,0,0,0,0.02
10246,Alias,PS2,2004,Action,Acclaim Entertainment,0.05,0.04,0,0.01,0.11
9805,Cory in the House,DS,2007,Action,Disney Interactive Studios,0.11,0,0,0.01,0.12
1605,Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.48,0.05,0.28,1.24
8944,Crash: Twinsanity,XB,2004,Platform,Vivendi Games,0.11,0.03,0,0.01,0.15
847,Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,1.2,0.62,0,0.18,2.01
4331,Dead or Alive: Dimensions,3DS,2011,Fighting,Ubisoft Annecy,0.13,0.21,0.07,0.03,0.45
2793,Harvest Moon DS: Island of Happiness,DS,2007,Simulation,Rising Star Games,0.44,0.01,0.25,0.04,0.74
5670,Sega Smash Pack,GBA,2002,Misc,Atari,0.23,0.08,0,0.01,0.32
1890,Sonic & Sega All-Stars Racing,DS,2010,Racing,Sega,0.44,0.54,0,0.11,1.09
9759,Rock Band Track Pack Volume 2,PS2,2008,Misc,MTV Games,0.06,0.05,0,0.02,0.12
14909,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,PSV,2012,Adventure,ChunSoft,0,0,0.03,0,0.03
3307,Small Soldiers,PS,1998,Platform,Electronic Arts,0.34,0.23,0,0.04,0.61
8395,Bakugan Battle Brawlers: Defenders of the Core,Wii,2010,Action,Activision,0.15,0.01,0,0.01,0.17
9224,Wild ARMs XF,PSP,2007,Role-Playing,505 Games,0.07,0,0.06,0.01,0.14
10992,I Love Puppies,DS,2010,Simulation,Destineer,0.09,0,0,0.01,0.09
8739,Paris-Dakar Rally,PS2,2001,Racing,Acclaim Entertainment,0.08,0.06,0,0.02,0.15
8248,The Grim Adventures of Billy & Mandy,GC,2006,Action,Midway Games,0.13,0.03,0,0,0.17
5815,KuruKuru Kururin,GBA,2001,Puzzle,Nintendo,0,0,0.3,0.01,0.31
13017,Dramatic Dungeon: Sakura Wars - Kimi Arugatame,DS,2008,Role-Playing,Sega,0,0,0.05,0,0.05
15088,Wrestle Kingdom 2: Pro Wrestling Sekai Taisen,PS2,2007,Fighting,Yuke's,0,0,0.02,0,0.02
11219,Theme Hospital,PS,1998,Strategy,Electronic Arts,0.03,0.02,0.03,0.01,0.09
16299,Legend of Kay Anniversary,WiiU,2015,Action,Nordic Games,0,0.01,0,0,0.01
8681,Birds of Steel,X360,2012,Simulation,Konami Digital Entertainment,0.11,0.04,0,0.01,0.16
4726,Fantastic Pets,X360,2011,Simulation,THQ,0.3,0.08,0,0.03,0.41
1276,The Sims 3,Wii,2010,Simulation,Electronic Arts,0.61,0.73,0,0.15,1.49
15325,Last Escort,PS2,2006,Adventure,D3Publisher,0,0,0.02,0,0.02
13508,TOCA Race Driver 2,XB,2004,Racing,Codemasters,0.03,0.01,0,0,0.04
6768,Classic NES Series: Excitebike,GBA,2004,Racing,Nintendo,0.11,0.04,0.1,0.01,0.25
11238,Just Dance Wii U,WiiU,2014,Misc,Nintendo,0,0,0.09,0,0.09
13056,Taiho Shichauzo!,PS,2001,Adventure,Pioneer LDC,0,0,0.05,0,0.05
1653,Cars,PS2,2006,Racing,THQ,1.01,0.04,0,0.16,1.21
2867,Resident Evil: Survivor,PS,2000,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71
11717,Baroque,Wii,2008,Role-Playing,Rising Star Games,0.07,0,0,0,0.08
4564,Skylanders: Trap Team,PS4,2014,Action,Activision,0.18,0.17,0,0.07,0.43
6937,Polly Pocket: Super Splash Island,GBA,2003,Action,Knowledge Adventure,0.17,0.06,0,0,0.24
3499,Parasite Eve II,PS,1999,Role-Playing,SquareSoft,0.32,0.22,0,0.04,0.58
14094,Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games,0.01,0.02,0,0.01,0.04
2119,Driver: San Francisco,PS3,2011,Racing,Ubisoft,0.24,0.54,0.01,0.18,0.98
9705,Deadliest Catch: Sea of Chaos,Wii,2010,Sports,Crave Entertainment,0.12,0,0,0.01,0.12
710,Kirby: Nightmare in Dream Land,GBA,2002,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27
6379,America's Test Kitchen: Let's Get Cooking,DS,2010,Simulation,Nintendo,0.25,0,0,0.02,0.27
588,Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,1.02,0.52,0.92,0.14,2.6
2504,Casper,PS,1996,Adventure,Interplay,0.46,0.31,0,0.05,0.83
2941,Disney's Chicken Little,GBA,2005,Platform,Disney Interactive Studios,0.5,0.18,0,0.01,0.7
15884,Kiss Bell,PSV,2014,Adventure,Giga,0,0,0.02,0,0.02
1541,Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.45,0.01,0.11,1.28
8083,Guilty Gear Xrd: Sign,PS3,2014,Fighting,Arc System Works,0.09,0,0.07,0.02,0.18
1440,FIFA Soccer 09,PSP,2008,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35
13616,Utawarerumono: Futari no Hakuoro,PS4,2016,Misc,Aqua Plus,0,0,0.04,0,0.04
14478,Lethal Enforcers I & II,PS,1996,Shooter,Konami Digital Entertainment,0.02,0.01,0,0,0.03
16024,Wand of Fortune Portable,PSP,2010,Adventure,Idea Factory,0,0,0.01,0,0.01
12614,Lord of Magna: Maiden Heaven,3DS,2014,Role-Playing,Marvelous Entertainment,0,0,0.06,0,0.06
12025,Higurashi no Nakukoru ni Kizuna: Dai-Ichi-Kan - Tatari,DS,2008,Adventure,Alchemist,0,0,0.07,0,0.07
9399,Army Men: Green Rogue,PS2,2001,Action,3DO,0.06,0.05,0,0.02,0.13
11790,Overlord: Minions,DS,2009,Puzzle,Codemasters,0.07,0,0,0.01,0.07
13006,Stranger of Sword City,PSV,2015,Role-Playing,Nippon Ichi Software,0.02,0.02,0,0.01,0.05
13424,World Fantasista,PS2,2002,Sports,SquareSoft,0,0,0.05,0,0.05
6453,Create,Wii,2010,Action,Electronic Arts,0.22,0.03,0,0.02,0.26
13930,Shin Hayarigami,PS3,2014,Adventure,Nippon Ichi Software,0,0,0.04,0,0.04
6200,F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,0,0,0.28,0,0.28
16547,Imagine Figure Skater (JP sales),DS,2007,Sports,Ubisoft,0,0,0.01,0,0.01
15598,Red Ninja: End of Honor,XB,2005,Action,Vivendi Games,0.01,0,0,0,0.02
14110,DoraMoji: Nobita no Kanji Daisakusen,3DS,2015,Misc,Shogakukan,0,0,0.03,0,0.03
4776,Asura's Wrath,PS3,2012,Action,Capcom,0.18,0.12,0.06,0.05,0.41
13720,Aeon Flux,PS2,2005,Action,THQ,0.02,0.02,0,0.01,0.04
7852,Jampack: Summer 2003 (RP-T),PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19
15328,Nicktoons Collection: Game Boy Advance Video Volume 3,GBA,2005,Misc,?,0.01,0.01,0,0,0.02
9134,Blazing Angels 2: Secret Missions of WWII,X360,2007,Simulation,Ubisoft,0.11,0.02,0,0.01,0.14
11519,Kobitodzukan: Kobito no Fushigi - Jikken Set,3DS,2013,Misc,Nippon Columbia,0,0,0.08,0,0.08
2118,South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.42,0.38,0,0.17,0.98
9794,The King of Fighters Collection: The Orochi Saga,Wii,2008,Fighting,Ignition Entertainment,0.11,0,0,0.01,0.12
5851,NASCAR 2011: The Game,X360,2011,Racing,Activision,0.29,0,0,0.02,0.3
10435,Adventure Time: Finn & Jake Investigations,PS3,2015,Action,Little Orbit,0.02,0.07,0,0.02,0.1
226,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
16568,Teslagrad,PSV,2015,Platform,Rain Games,0,0.01,0,0,0.01
2204,Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0,0.13,0.94
8427,Easy Piano,DS,2009,Misc,Game Life,0.04,0.11,0,0.02,0.17
857,SimCity,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98
15522,The Conveni 4,PS2,2006,Simulation,Hamster Corporation,0,0,0.02,0,0.02
6704,World Series Baseball 2K3,PS2,2003,Sports,Sega,0.12,0.1,0,0.03,0.25
5125,Rec Room Games,Wii,2009,Sports,Destineer,0.35,0,0,0.02,0.37
16507,Mystereet,PS2,2006,Adventure,Yeti,0,0,0.01,0,0.01
11651,Slayers Royal 2,SAT,1998,Role-Playing,Kadokawa Shoten,0,0,0.08,0,0.08
2921,The Sims 3,DS,2010,Simulation,Electronic Arts,0.39,0.25,0,0.06,0.7
1673,Disney Sing It,Wii,2008,Misc,Disney Interactive Studios,0.77,0.31,0,0.12,1.2
5718,Mario Golf,GB,1999,Action,Nintendo,0,0,0.31,0,0.31
